TIME_StartTime,BATT_VFilt,BATT_CFilt,BATT_Discharged,BATT_Remaining,BATT_RemainingV,BATT_Warning
891516519,46.866905212402344,3.855250835418701,3520.222412109375,0.7564805746078491,0.7006116509437561,0
892516817,46.01542282104492,18.46673583984375,3527.46044921875,0.7560282349586487,0.7049004435539246,0
893519562,44.94275665283203,35.78707504272461,3541.2177734375,0.7551683783531189,0.7061417698860168,0
894535505,44.39408874511719,43.6373176574707,3555.256591796875,0.7542909383773804,0.7042222619056702,0
894535505,44.39408874511719,43.6373176574707,3555.256591796875,0.7542909383773804,0.7042222619056702,0
895537295,44.125003814697266,46.58541488647461,3568.7724609375,0.7534462213516235,0.7008786797523499,0
896559844,43.94233322143555,48.27112579345703,3582.850341796875,0.7525663375854492,0.6987392902374268,0
897583132,43.79235076904297,49.501922607421875,3597.16064453125,0.7516719698905945,0.6968777775764465,0
898602249,43.66936492919922,50.31110763549805,3611.607177734375,0.7507690191268921,0.6948421001434326,0
899605646,43.54144287109375,51.487953186035156,3626.103271484375,0.7498630285263062,0.69423907995224,0
900616559,43.50457763671875,51.08918762207031,3640.378173828125,0.7489708662033081,0.6929407119750977,0
901620374,43.434146881103516,51.343101501464844,3654.661865234375,0.7480781078338623,0.691736102104187,0
902630319,43.3149528503418,52.20111846923828,3669.4970703125,0.7471508979797363,0.6889137625694275,0
903636734,43.2823600769043,51.923309326171875,3684.111083984375,0.7462375164031982,0.6878726482391357,0
904655947,43.31637954711914,50.486114501953125,3698.177490234375,0.745358407497406,0.6859671473503113,0
905668846,43.2972526550293,50.07539749145508,3712.18896484375,0.744482696056366,0.6844996213912964,0
906687536,43.263301849365234,50.07530975341797,3726.2314453125,0.7436050176620483,0.6837813258171082,0
907697556,43.24726104736328,49.65311050415039,3740.085693359375,0.7427391409873962,0.6819608211517334,0
908709287,43.181026458740234,50.02539825439453,3754.180419921875,0.7418582439422607,0.6796257495880127,0
909728294,43.11320877075195,50.762168884277344,3768.7626953125,0.7409468293190002,0.6794995069503784,0
910739005,43.08243942260742,50.63124465942383,3782.953857421875,0.7400598526000977,0.6775099635124207,0
911747388,43.062808990478516,50.39274597167969,3797.06591796875,0.7391778826713562,0.6758266091346741,0
912770071,43.054664611816406,49.839195251464844,3811.1220703125,0.7382993698120117,0.6730960011482239,0
913775948,43.00666809082031,50.43186569213867,3825.19482421875,0.737419843673706,0.6733792424201965,0
913775948,43.00666809082031,50.43186569213867,3825.19482421875,0.737419843673706,0.6733792424201965,0
914790922,42.91167068481445,51.119956970214844,3839.85546875,0.736503541469574,0.6691122055053711,0
915794380,42.88174819946289,51.00132369995117,3854.032470703125,0.735617458820343,0.6666009426116943,0
916795954,42.85971450805664,50.960384368896484,3868.177734375,0.7347334027290344,0.6653203964233398,0
917816962,42.836708068847656,50.92975997924805,3882.636962890625,0.73382967710495,0.663891077041626,0
918834255,43.11039733886719,45.41817855834961,3894.459228515625,0.7330907583236694,0.6582622528076172,0
919850554,42.848358154296875,50.34469223022461,3909.89892578125,0.7321258187294006,0.662842333316803,0
920850382,42.27961349487305,62.05653762817383,3928.8369140625,0.7309421896934509,0.6794115900993347,0
921864309,41.301334381103516,82.26832580566406,3956.29345703125,0.7292261719703674,0.7105546593666077,0
922886883,41.01091766357422,86.84362030029297,3982.247314453125,0.7276040315628052,0.7157213687896729,0
923888994,41.23361587524414,82.09969329833984,4004.299072265625,0.7262257933616638,0.714756429195404,0
924894435,41.33576583862305,79.93949890136719,4026.025390625,0.7248679399490356,0.7165245413780212,0
925913343,41.468257904052734,77.28946685791016,4047.48095703125,0.7235269546508789,0.7176976799964905,0
926930212,42.88554382324219,47.67655944824219,4056.51513671875,0.7229622602462769,0.6794020533561707,0
927948601,43.024173736572266,47.02193832397461,4068.153564453125,0.7222349047660828,0.687420129776001,0
928964682,43.06204605102539,46.37710189819336,4081.291259765625,0.721413791179657,0.6856164932250977,0
929969292,43.1658935546875,44.64767074584961,4093.63525390625,0.7206423282623291,0.6837775707244873,0
930976404,43.121585845947266,45.79771423339844,4106.5234375,0.7198367714881897,0.6846859455108643,0
930976404,43.121585845947266,45.79771423339844,4106.5234375,0.7198367714881897,0.6846859455108643,0
931978111,43.089820861816406,46.319297790527344,4119.9580078125,0.7189971208572388,0.6833073496818542,0
932986266,43.214385986328125,43.430599212646484,4131.29052734375,0.7182888388633728,0.6761587858200073,0
933997335,43.12892150878906,45.27399444580078,4144.61083984375,0.7174563407897949,0.6775228977203369,0
935010771,43.08448791503906,46.17623519897461,4157.4775390625,0.7166521549224854,0.6770827174186707,0
936034285,42.761016845703125,53.383914947509766,4174.01513671875,0.7156185507774353,0.6888194680213928,0
937040608,42.49072265625,58.368831634521484,4191.24365234375,0.7145417928695679,0.6927973628044128,0
938048432,42.47842025756836,57.86754608154297,4207.533203125,0.7135236263275146,0.6892455220222473,0
939055984,42.866859436035156,48.75883483886719,4219.51220703125,0.7127749919891357,0.671797513961792,0
940077118,43.063446044921875,44.494110107421875,4231.38525390625,0.7120329141616821,0.6641347408294678,0
941077470,42.85124588012695,49.88594055175781,4246.26708984375,0.7111027836799622,0.6756219863891602,0
942087880,42.621707916259766,54.52249526977539,4262.34765625,0.7100977897644043,0.681030809879303,0
943103833,42.44247055053711,57.61713790893555,4279.27978515625,0.7090395092964172,0.6826234459877014,0
944123110,42.44284439086914,57.03278350830078,4295.353515625,0.708034873008728,0.6796786785125732,0
945142606,42.40654754638672,57.38027572631836,4311.6796875,0.7070145010948181,0.6787664890289307,0
